STN#,Elevation,Lon,Lat,
C1N001,24,120.3094,22.9355,
C1O850,44,120.4186,23.1486,
C1O870,1249,120.5223,23.3116,
C1O880,223,120.5941,23.1734,
C1O921,115,120.4841,23.1835,
C1R110,110,120.6452,22.7701,
C1R120,820,120.7044,22.7633,
C1R201,63,120.602,22.6671,
C1R250,92,120.6292,22.4281,
C1R290,260,120.7566,22.1126,
C1R300,13,120.8877,22.1946,
C1R320,7,120.7162,22.0744,
C1R330,9,120.6611,22.2469,
C1R340,230,120.7926,22.13,
C1R440,1654,120.7532,22.4053,
C1R610,1828,120.7322,22.6177,
C1S620,122,120.8876,22.4531,
C1S630,23,121.228,22.8784,
C1S660,794,121.07,23.1502,
C1S670,1580,121.027,23.1995,
C1S800,80,121.0233,22.6579,
C1S820,177,120.9332,22.591,
C1S850,489,121.2624,23.1221,
C1S860,516,121.0505,22.8094,
C1S870,222,121.3823,23.1503,
C1S880,474,120.8589,22.2389,
C1T800,1260,121.454,24.2046,
C1T810,2049,121.3884,24.192,
C1T830,675,121.5713,24.1718,
C1T920,68,121.4987,23.7695,
C1T940,539,121.3731,23.7142,
C1T950,1050,121.3701,23.6667,
C1T970,183,121.4133,23.6152,
C1T980,1306,121.4113,24.0233,
C1T990,128,121.3568,23.3942,
C1U501,280,121.5737,24.6378,
C1U511,492,121.6716,24.5716,
C1U670,105,121.7169,24.634,
C1U690,101,121.7513,24.6256,
C1U830,618,121.8394,24.4827,
C1U840,750,121.8485,24.5378,
C1U850,665,121.7786,24.3832,
C1U880,8,121.8719,24.9065,
C1V160,1040,120.7053,23.2798,
C1V170,3690,120.9541,23.4636,
C1V190,2700,120.9118,23.274,
C1V200,870,120.8236,23.2684,
C1V220,1781,120.8136,23.1542,
C1V231,731,120.7167,23.1349,
C1V300,1637,120.7154,23.002,
C1V340,190,120.646,22.8883,
C1V390,60,120.3678,22.8132,
C1V570,82,120.5454,22.8542,
C1V580,1656,120.7885,23.085,
C1V590,741,120.6461,23.057,
C1V600,1561,120.757,23.072,
C1V780,1050,120.7379,22.888,
C1X040,232,120.4638,23.2916,
C1Z030,218,121.3388,23.4931,
C1Z040,434,121.3274,23.4434,
C1Z110,680,121.605,24.1156,
C1Z120,62,121.5081,23.8709,
C1Z130,187,121.4928,23.9657,
C1Z240,1163,121.2676,23.4212,
